path,classification,economic,deterministic
cmd,infrastructure,false,false
internal/account,ported-compatibility,true,true
internal/adapters,infrastructure,false,false
internal/application,non-economic,false,false
internal/currency,ported-compatibility,true,true
internal/decimal,ported-compatibility,true,true
internal/decimal/economic,production-economic,true,true
internal/defi,ported-compatibility,true,true
internal/domain,production-economic,true,true
internal/edge,infrastructure,false,false
internal/engine,production-economic,true,true
internal/expression,ported-compatibility,false,false
internal/ids,ported-compatibility,true,true
internal/instrument,ported-compatibility,true,true
internal/market,ported-compatibility,true,true
internal/matching,ported-compatibility,true,true
internal/modelenum,ported-compatibility,false,true
internal/money,ported-compatibility,true,true
internal/order,ported-compatibility,true,true
internal/position,ported-compatibility,true,true
internal/report,ported-compatibility,true,true
internal/runtime,infrastructure,false,false
internal/testsupport/postgresfixture,infrastructure,false,false
testkit,test-placeholder,false,true
tests,test-placeholder,false,false
scripts,tooling,false,false
tools,tooling,false,false
